Itens 	Parametro_a	Parametro_b	Parametro_c	Parametro_d	Question	Option.1	Option.2	Option.3	Option.4	Option.5	Answer
Item.1	1.232	-0.708	0.194	0.872	"1+0=?"	1	2	3	4	5	1
Item.2	1.369	-2.396	0.254	3.280	"1+0=?"	1	2	3	4	5	1
Item.3	2.096	0.579	0.204	-1.214	"1+0=?"	1	2	3	4	5	1
Item.4	1.596	2.395	0.283	-3.823	"1+0=?"	1	2	3	4	5	1
Item.5	1.518	2.308	0.291	-3.504	"1+0=?"	1	2	3	4	5	1
Item.6	1.333	2.751	0.265	-3.667	"1+0=?"	1	2	3	4	5	1
Item.7	1.359	-2.913	0.152	3.960	"1+0=?"	1	2	3	4	5	1
Item.8	1.481	-0.555	0.219	0.823	"1+0=?"	1	2	3	4	5	1
Item.9	2.421	2.179	0.159	-5.278	"1+0=?"	1	2	3	4	5	1
Item.10	1.206	-2.168	0.232	2.614	"1+0=?"	1	2	3	4	5	1
Item.11	2.225	-1.530	0.212	3.403	"1+0=?"	1	2	3	4	5	1
Item.12	1.250	-2.727	0.269	3.408	"1+0=?"	1	2	3	4	5	1
Item.13	1.092	-2.806	0.194	3.063	"1+0=?"	1	2	3	4	5	1
Item.14	2.073	-2.015	0.228	4.179	"1+0=?"	1	2	3	4	5	1
Item.15	2.073	-1.682	0.179	3.488	"1+0=?"	1	2	3	4	5	1
Item.16	1.579	-2.897	0.168	4.575	"1+0=?"	1	2	3	4	5	1
Item.17	1.276	-1.290	0.167	1.646	"1+0=?"	1	2	3	4	5	1
Item.18	1.603	-0.941	0.205	1.509	"1+0=?"	1	2	3	4	5	1
Item.19	1.437	0.322	0.245	-0.462	"1+0=?"	1	2	3	4	5	1
Item.20	1.539	-0.856	0.163	1.317	"1+0=?"	1	2	3	4	5	1
Item.21	1.528	-0.769	0.220	1.175	"1+0=?"	1	2	3	4	5	1
Item.22	1.097	-0.866	0.155	0.950	"1+0=?"	1	2	3	4	5	1
Item.23	1.758	2.462	0.159	-4.328	"1+0=?"	1	2	3	4	5	1
Item.24	2.491	-0.204	0.278	0.508	"1+0=?"	1	2	3	4	5	1
Item.25	2.442	-0.443	0.177	1.082	"1+0=?"	1	2	3	4	5	1
Item.26	1.988	-1.177	0.246	2.339	"1+0=?"	1	2	3	4	5	1
Item.27	1.855	2.854	0.253	-5.295	"1+0=?"	1	2	3	4	5	1
Item.28	2.387	1.840	0.218	-4.392	"1+0=?"	1	2	3	4	5	1
Item.29	2.200	2.947	0.212	-6.486	"1+0=?"	1	2	3	4	5	1
Item.30	1.371	-1.462	0.204	2.005	"1+0=?"	1	2	3	4	5	1
Item.31	1.760	2.710	0.249	-4.769	"1+0=?"	1	2	3	4	5	1
Item.32	2.437	-2.679	0.298	6.529	"1+0=?"	1	2	3	4	5	1
Item.33	1.496	1.230	0.273	-1.840	"1+0=?"	1	2	3	4	5	1
Item.34	1.435	1.899	0.288	-2.726	"1+0=?"	1	2	3	4	5	1
Item.35	2.351	2.835	0.174	-6.665	"1+0=?"	1	2	3	4	5	1
Item.36	2.401	-0.202	0.204	0.485	"1+0=?"	1	2	3	4	5	1
Item.37	2.109	-1.199	0.280	2.528	"1+0=?"	1	2	3	4	5	1
Item.38	1.914	1.501	0.282	-2.873	"1+0=?"	1	2	3	4	5	1
Item.39	1.958	-0.891	0.174	1.745	"1+0=?"	1	2	3	4	5	1
Item.40	1.968	1.654	0.171	-3.255	"1+0=?"	1	2	3	4	5	1
Item.41	2.200	-2.554	0.290	5.620	"1+0=?"	1	2	3	4	5	1
Item.42	2.395	-1.809	0.208	4.334	"1+0=?"	1	2	3	4	5	1
Item.43	2.350	-2.616	0.280	6.147	"1+0=?"	1	2	3	4	5	1
Item.44	2.469	-0.850	0.197	2.098	"1+0=?"	1	2	3	4	5	1
Item.45	1.108	-0.078	0.241	0.086	"1+0=?"	1	2	3	4	5	1
Item.46	1.621	0.067	0.218	-0.109	"1+0=?"	1	2	3	4	5	1
Item.47	1.290	-0.759	0.211	0.980	"1+0=?"	1	2	3	4	5	1
